SITE CODE= 47274éÏèFéséOçËí¨            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  3.16,  5.38
 LAT.=   37.4504
 LON.=  137.3589
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 50
 NS,EW,UD
-0.027,-0.132,-0.023
-0.060,-0.152,-0.015
-0.076,-0.075,0.010
-0.059,0.040,0.024
0.006,0.127,0.011
0.090,0.143,-0.007
0.125,0.077,-0.002
0.070,-0.044,0.014
-0.042,-0.147,0.015
-0.121,-0.161,-0.000
-0.107,-0.079,-0.013
-0.025,0.032,-0.015
0.052,0.100,-0.015
0.068,0.108,-0.013
0.032,0.079,-0.003
-0.014,0.029,0.011
-0.041,-0.036,0.008
-0.042,-0.092,-0.010
-0.020,-0.097,-0.015
0.012,-0.040,0.005
0.033,0.035,0.025
0.020,0.067,0.013
-0.019,0.034,-0.015
-0.048,-0.027,-0.027
-0.035,-0.064,-0.014
0.009,-0.046,-0.003
0.050,0.012,-0.008
0.063,0.063,-0.012
0.043,0.069,0.001
0.002,0.026,0.017
-0.044,-0.031,0.010
-0.069,-0.065,-0.013
-0.049,-0.060,-0.023
0.003,-0.023,-0.011
0.040,0.030,0.007
0.030,0.072,0.014
-0.005,0.070,0.012
-0.017,0.012,0.007
0.014,-0.065,-0.000
0.053,-0.104,-0.008
0.052,-0.076,-0.007
0.005,-0.003,-0.000
-0.050,0.070,-0.002
-0.071,0.108,-0.011
-0.051,0.096,-0.005
-0.012,0.035,0.022
0.022,-0.048,0.039
0.035,-0.101,0.015
0.029,-0.083,-0.026
0.013,-0.005,-0.032
-0.003,0.074,0.003
-0.016,0.096,0.031
-0.023,0.053,0.022
-0.019,-0.016,-0.005
-0.004,-0.059,-0.015
0.014,-0.053,-0.008
0.023,-0.010,0.000
0.021,0.036,0.007
0.016,0.053,0.016
0.016,0.035,0.013
0.010,0.005,-0.006
-0.010,-0.012,-0.023
-0.033,-0.004,-0.013
-0.029,0.016,0.011
0.010,0.032,0.021
0.053,0.037,0.008
0.063,0.039,-0.002
0.028,0.044,0.002
-0.022,0.042,0.011
-0.058,0.012,0.013
-0.066,-0.048,0.013
-0.056,-0.104,0.011
-0.038,-0.110,-0.000
-0.016,-0.049,-0.016
0.010,0.041,-0.016
0.039,0.097,0.008
0.063,0.085,0.030
0.061,0.022,0.024
0.026,-0.038,-0.002
-0.027,-0.046,-0.014
-0.059,0.007,0.004
-0.044,0.082,0.030
0.000,0.114,0.027
0.038,0.066,-0.008
0.050,-0.037,-0.034
0.045,-0.125,-0.020
0.032,-0.132,0.018
0.003,-0.055,0.033
-0.043,0.047,0.013
-0.079,0.104,-0.008
-0.064,0.092,-0.001
