SITE CODE= 47600—Ö“‡Žs–PŽŠ’¬            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  6.59, 11.21
 LAT.=   37.3912
 LON.=  136.8952
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 00
 NS,EW,UD
0.079,0.018,0.004
0.073,0.011,0.005
0.067,0.009,0.008
0.062,0.007,0.011
0.059,0.004,0.012
0.058,-0.001,0.009
0.055,-0.007,0.007
0.052,-0.016,0.007
0.048,-0.026,0.011
0.045,-0.036,0.015
0.044,-0.045,0.016
0.045,-0.052,0.014
0.045,-0.057,0.009
0.044,-0.061,0.002
0.042,-0.064,-0.004
0.041,-0.065,-0.009
0.043,-0.064,-0.010
0.046,-0.064,-0.007
0.048,-0.065,-0.003
0.048,-0.069,0.000
0.045,-0.072,0.003
0.041,-0.073,0.005
0.041,-0.074,0.005
0.041,-0.077,0.004
0.042,-0.083,0.000
0.041,-0.087,-0.003
0.041,-0.087,-0.002
0.044,-0.079,0.004
0.051,-0.064,0.009
0.059,-0.045,0.012
0.064,-0.028,0.011
0.064,-0.016,0.008
0.060,-0.009,0.005
0.056,-0.005,0.003
0.054,-0.002,0.002
0.053,0.002,-0.001
0.051,0.004,-0.005
0.048,0.005,-0.012
0.046,0.005,-0.018
0.047,0.007,-0.018
0.053,0.015,-0.013
0.061,0.023,-0.006
0.068,0.029,-0.004
0.073,0.028,-0.009
0.073,0.022,-0.015
0.072,0.016,-0.020
0.071,0.012,-0.020
0.072,0.016,-0.018
0.077,0.022,-0.017
0.084,0.028,-0.017
0.089,0.033,-0.017
0.092,0.035,-0.018
0.091,0.038,-0.019
0.087,0.042,-0.022
0.084,0.046,-0.024
0.081,0.046,-0.023
0.077,0.044,-0.022
0.071,0.041,-0.023
0.062,0.039,-0.025
0.055,0.041,-0.028
0.047,0.043,-0.029
0.041,0.043,-0.029
0.033,0.041,-0.027
0.025,0.037,-0.026
0.017,0.034,-0.025
0.009,0.031,-0.022
0.003,0.030,-0.016
-0.006,0.027,-0.009
-0.019,0.022,-0.005
-0.036,0.016,-0.005
-0.054,0.011,-0.007
-0.070,0.007,-0.006
-0.078,0.007,-0.003
-0.083,0.007,0.002
-0.085,0.005,0.004
-0.090,0.000,0.002
-0.098,-0.007,-0.002
-0.108,-0.015,-0.005
