time,NS,EW,UD
0.01,0.079,0.018,0.004
0.02,0.073,0.011,0.005
0.03,0.067,0.009,0.008
0.04,0.062,0.007,0.011
0.05,0.059,0.004,0.012
0.06,0.058,-0.001,0.009
0.07,0.055,-0.007,0.007
0.08,0.052,-0.016,0.007
0.09,0.048,-0.026,0.011
0.1,0.045,-0.036,0.015
0.11,0.044,-0.045,0.016
0.12,0.045,-0.052,0.014
0.13,0.045,-0.057,0.009
0.14,0.044,-0.061,0.002
0.15,0.042,-0.064,-0.004
0.16,0.041,-0.065,-0.009
0.17,0.043,-0.064,-0.01
0.18,0.046,-0.064,-0.007
0.19,0.048,-0.065,-0.003
0.2,0.048,-0.069,0.0
0.21,0.045,-0.072,0.003
0.22,0.041,-0.073,0.005
0.23,0.041,-0.074,0.005
0.24,0.041,-0.077,0.004
0.25,0.042,-0.083,0.0
0.26,0.041,-0.087,-0.003
0.27,0.041,-0.087,-0.002
0.28,0.044,-0.079,0.004
0.29,0.051,-0.064,0.009
0.3,0.059,-0.045,0.012
0.31,0.064,-0.028,0.011
0.32,0.064,-0.016,0.008
0.33,0.06,-0.009,0.005
0.34,0.056,-0.005,0.003
0.35,0.054,-0.002,0.002
0.36,0.053,0.002,-0.001
0.37,0.051,0.004,-0.005
0.38,0.048,0.005,-0.012
0.39,0.046,0.005,-0.018
0.4,0.047,0.007,-0.018
0.41,0.053,0.015,-0.013
0.42,0.061,0.023,-0.006
0.43,0.068,0.029,-0.004
0.44,0.073,0.028,-0.009
0.45,0.073,0.022,-0.015
0.46,0.072,0.016,-0.02
0.47,0.071,0.012,-0.02
0.48,0.072,0.016,-0.018
0.49,0.077,0.022,-0.017
0.5,0.084,0.028,-0.017
0.51,0.089,0.033,-0.017
0.52,0.092,0.035,-0.018
0.53,0.091,0.038,-0.019
0.54,0.087,0.042,-0.022
0.55,0.084,0.046,-0.024
0.56,0.081,0.046,-0.023
0.57,0.077,0.044,-0.022
0.58,0.071,0.041,-0.023
0.59,0.062,0.039,-0.025
0.6,0.055,0.041,-0.028
0.61,0.047,0.043,-0.029
0.62,0.041,0.043,-0.029
0.63,0.033,0.041,-0.027
0.64,0.025,0.037,-0.026
0.65,0.017,0.034,-0.025
0.66,0.009,0.031,-0.022
0.67,0.003,0.03,-0.016
0.68,-0.006,0.027,-0.009
0.69,-0.019,0.022,-0.005
0.7,-0.036,0.016,-0.005
0.71,-0.054,0.011,-0.007
0.72,-0.07,0.007,-0.006
0.73,-0.078,0.007,-0.003
0.74,-0.083,0.007,0.002
0.75,-0.085,0.005,0.004
0.76,-0.09,0.0,0.002
0.77,-0.098,-0.007,-0.002
0.78,-0.108,-0.015,-0.005
0.79,-0.116,-0.022,-0.004
0.8,-0.123,-0.027,-0.001
0.81,-0.126,-0.031,0.004
0.82,-0.128,-0.037,0.005
0.83,-0.131,-0.045,0.005
0.84,-0.137,-0.054,0.002
0.85,-0.142,-0.061,0.0
0.86,-0.145,-0.066,-0.001
0.87,-0.146,-0.066,-0.001
0.88,-0.146,-0.065,0.0
0.89,-0.145,-0.066,0.002
0.9,-0.145,-0.07,0.002
0.91,-0.145,-0.075,0.002
0.92,-0.145,-0.077,0.005
0.93,-0.145,-0.078,0.01
0.94,-0.145,-0.078,0.015
0.95,-0.143,-0.079,0.016
0.96,-0.142,-0.082,0.012
0.97,-0.141,-0.083,0.007
0.98,-0.14,-0.082,0.005
0.99,-0.137,-0.079,0.006
1.0,-0.133,-0.077,0.008
1.01,-0.128,-0.076,0.008
1.02,-0.123,-0.077,0.005
1.03,-0.121,-0.079,0.004
1.04,-0.121,-0.08,0.005
1.05,-0.12,-0.077,0.007
1.06,-0.115,-0.071,0.005
1.07,-0.107,-0.066,0.0
1.08,-0.098,-0.065,-0.001
1.09,-0.09,-0.066,0.002
1.1,-0.084,-0.066,0.009
1.11,-0.076,-0.062,0.014
1.12,-0.067,-0.053,0.014
1.13,-0.057,-0.045,0.012
1.14,-0.046,-0.038,0.011
1.15,-0.034,-0.035,0.012
1.16,-0.023,-0.032,0.011
1.17,-0.012,-0.025,0.008
1.18,-0.003,-0.016,0.002
1.19,0.005,-0.005,-0.002
1.2,0.014,0.005,-0.002
1.21,0.022,0.014,0.002
1.22,0.029,0.02,0.006
1.23,0.036,0.025,0.009
1.24,0.041,0.032,0.009
1.25,0.048,0.039,0.008
1.26,0.055,0.048,0.003
1.27,0.059,0.056,-0.002
1.28,0.059,0.06,-0.002
1.29,0.057,0.062,0.005
1.3,0.056,0.064,0.012
1.31,0.061,0.067,0.017
1.32,0.068,0.07,0.014
1.33,0.076,0.071,0.008
1.34,0.079,0.067,0.004
1.35,0.079,0.061,0.003
1.36,0.079,0.055,0.005
1.37,0.08,0.05,0.007
1.38,0.082,0.047,0.009
1.39,0.084,0.043,0.011
1.4,0.082,0.036,0.011
1.41,0.078,0.026,0.011
1.42,0.073,0.016,0.008
1.43,0.07,0.006,0.005
1.44,0.07,-0.002,0.003
1.45,0.073,-0.007,0.001
1.46,0.077,-0.014,-0.002
1.47,0.078,-0.02,-0.005
1.48,0.077,-0.025,-0.005
1.49,0.073,-0.029,-0.003
1.5,0.071,-0.032,0.002
1.51,0.07,-0.035,0.005
1.52,0.067,-0.038,0.003
1.53,0.062,-0.043,-0.003
1.54,0.057,-0.048,-0.008
1.55,0.053,-0.052,-0.008
1.56,0.052,-0.052,-0.003
1.57,0.054,-0.048,0.004
1.58,0.055,-0.044,0.008
1.59,0.054,-0.041,0.008
1.6,0.05,-0.041,0.005
1.61,0.044,-0.043,0.0
1.62,0.038,-0.043,-0.003
1.63,0.032,-0.041,-0.003
1.64,0.029,-0.037,0.001
1.65,0.029,-0.034,0.005
1.66,0.03,-0.032,0.006
1.67,0.028,-0.033,0.004
1.68,0.023,-0.034,0.004
1.69,0.016,-0.036,0.007
1.7,0.009,-0.037,0.013
1.71,0.002,-0.039,0.017
1.72,-0.002,-0.039,0.017
1.73,-0.005,-0.038,0.016
1.74,-0.01,-0.035,0.016
1.75,-0.014,-0.032,0.02
1.76,-0.02,-0.027,0.023
1.77,-0.027,-0.022,0.024
