time,acceleration
0,0
0.02,-1.4
0.04,-10.8
0.06,-10.1
0.08,-8.8
0.1,-9.5
0.12,-12
0.14,-14.2
0.16,-12.8
0.18,-11
0.2,-8.5
0.22,-8.5
0.24,-13.1
0.26,-17.6
0.28,-19.4
0.3,-16.2
0.32,-14.4
0.34,-10.8
0.36,-8.2
0.38,-4.2
0.4,-6.6
0.42,-13.1
0.44,-19
0.46,-19.6
0.48,-6.6
0.5,3
0.52,14.1
0.54,-4.9
0.56,-12.8
0.58,-14.4
0.6,-20.3
0.62,-26
0.64,-32.5
0.66,-30.6
0.68,-17.2
0.7,-19.7
0.72,-16.3
0.74,-16.4
0.76,-6.7
0.78,2.5
0.8,15
0.82,23.6
0.84,25.2
0.86,33.6
0.88,46.3
0.9,49.2
0.92,41.9
0.94,35.9
0.96,27.1
0.98,23.5
1,33.9
1.02,41.2
1.04,53
1.06,63.9
1.08,73.2
1.1,65.2
1.12,59.9
1.14,40
1.16,40
1.18,6.3
1.2,-51.5
1.22,-78.7
1.24,-60.3
1.26,-48.4
1.28,-25
1.3,-5.9
1.32,13.4
1.34,30.8
1.36,49.9
1.38,71
1.4,99.5
1.42,121.9
1.44,152.9
1.46,144.9
1.48,115.5
1.5,93.5
1.52,89.2
1.54,92.6
1.56,83.9
1.58,90.1
1.6,99.3
1.62,120.9
1.64,32.8
1.66,-147.5
1.68,-206.6
1.7,-198.9
1.72,-203.4
1.74,-181.6
1.76,-172.5
1.78,-175.2
1.8,-175.3
1.82,-180.5
1.84,-163
1.86,-134.7
1.88,-108.7
1.9,-78.2
1.92,-42.9
1.94,-1.7
1.96,36
1.98,78.5
2,116.4
2.02,159.8
2.04,196
2.06,241.2
2.08,272.9
2.1,303.6
2.12,320
2.14,341.7
2.16,282.1
2.18,232.4
2.2,-119.8
2.22,-237.3
2.24,-164
2.26,-186.5
2.28,-109.5
2.3,-75.3
2.32,-17.3
2.34,11.3
2.36,53.3
2.38,89.5
2.4,118.6
2.42,175.7
2.44,57.6
2.46,-263.1
2.48,-154.7
2.5,-172.9
2.52,-101.2
2.54,-57.9
2.56,23.7
2.58,-67
2.6,-198
2.62,-164.1
2.64,-168.5
2.66,-148.1
2.68,-123.1
2.7,-100.1
2.72,-75.1
2.74,-52.3
2.76,-27.1
2.78,-4.4
2.8,18.8
2.82,-9.5
2.84,-43.3
2.86,-83.8
2.88,-95.1
2.9,-71.6
2.92,-59.9
2.94,-33.4
2.96,-10.8
2.98,18.5
3,42
3.02,67.3
3.04,-9.7
3.06,-37.2
3.08,-4
3.1,1.1
3.12,34.4
3.14,56.5
3.16,88.3
3.18,113
3.2,136.3
3.22,21.9
3.24,24.1
3.26,68.3
3.28,68.9
3.3,131.8
3.32,135.3
3.34,204
3.36,-93.1
3.38,-130.8
3.4,-69.2
3.42,-54.6
3.44,7.2
3.46,67.5
3.48,-106.7
3.5,-148.8
3.52,-107.1
3.54,-116.2
3.56,-76.2
3.58,-55.9
3.6,-21.5
3.62,-12.6
3.64,-67.4
3.66,-32.4
3.68,-33.7
3.7,-10.9
3.72,1.7
3.74,29.9
3.76,48.8
3.78,60.8
3.8,22.2
3.82,-3.2
3.84,-24.5
3.86,7.7
3.88,21.1
3.9,56.8
3.92,82.6
3.94,120.6
