SITE CODE= 77029 ëÂç„ñkãÊíÉâÆí¨
 LAT.=   34.7054
 LON.=  135.5023
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2018 06 18 07 58 20
 NS,EW,UD
0.004,0.036,0.031
0.015,0.040,0.019
0.011,0.000,-0.008
0.033,-0.019,0.005
-0.007,-0.001,-0.011
0.000,0.009,-0.050
0.029,0.019,-0.073
0.026,0.004,-0.088
0.026,-0.033,0.036
-0.024,-0.023,0.236
-0.062,0.011,0.205
-0.019,0.019,-0.006
0.033,0.010,-0.059
-0.008,-0.034,0.025
-0.062,-0.097,0.023
-0.004,-0.079,-0.032
-0.003,-0.013,-0.069
-0.068,-0.009,-0.078
-0.023,-0.008,-0.015
0.040,0.017,0.003
0.055,0.001,-0.019
0.059,0.020,-0.015
0.025,0.033,-0.053
-0.022,0.016,-0.050
-0.058,0.039,-0.037
-0.048,-0.008,-0.012
0.006,-0.041,0.049
0.030,-0.002,0.018
0.025,0.028,0.044
0.011,0.067,0.093
-0.013,0.053,0.078
-0.022,0.019,0.066
-0.001,-0.008,-0.019
0.029,-0.025,-0.055
0.019,-0.015,-0.026
0.007,-0.010,-0.025
-0.007,-0.023,-0.006
-0.028,-0.062,-0.014
0.009,-0.047,-0.018
0.014,-0.031,0.002
-0.018,-0.010,-0.022
0.002,0.044,-0.067
0.027,0.035,-0.082
0.029,0.042,-0.091
0.021,0.026,-0.031
0.039,-0.023,0.079
0.040,-0.032,0.098
-0.007,-0.011,0.085
-0.026,0.010,0.062
-0.001,-0.026,-0.005
0.014,-0.011,-0.019
-0.018,0.034,0.008
-0.007,0.020,0.029
0.032,0.034,0.015
-0.018,0.019,-0.014
-0.062,-0.014,0.060
-0.063,0.001,0.118
-0.031,0.023,0.006
0.028,0.013,-0.103
-0.010,-0.022,-0.069
-0.051,0.001,0.010
0.009,0.035,0.014
0.026,0.009,-0.043
-0.008,-0.010,-0.093
-0.029,-0.033,-0.052
-0.033,-0.060,0.006
0.015,-0.060,0.004
0.040,-0.013,0.027
0.019,0.030,0.001
0.048,0.029,-0.013
0.068,0.041,0.058
0.024,0.008,0.073
-0.010,-0.041,0.054
-0.005,-0.036,0.020
-0.004,-0.014,0.000
-0.024,0.022,0.003
-0.019,0.018,-0.008
0.013,0.000,-0.006
-0.005,-0.009,-0.046
-0.047,-0.022,-0.109
0.001,-0.006,-0.096
0.039,0.002,-0.026
0.023,0.019,0.021
0.030,0.022,0.042
-0.008,0.023,0.029
-0.032,0.048,-0.006
-0.010,0.032,-0.009
-0.024,0.023,-0.005
-0.021,0.016,0.011
0.006,-0.021,0.055
0.039,-0.039,0.087
0.036,-0.021,0.052
0.008,0.003,-0.007
0.010,-0.007,0.033
-0.035,-0.019,0.070
-0.063,-0.017,0.009
-0.031,-0.024,-0.038
-0.031,-0.035,-0.032
-0.024,-0.050,0.018
0.009,-0.007,0.049
0.039,0.058,0.020
0.028,0.044,-0.067
-0.002,-0.020,-0.151
0.001,-0.048,-0.052
-0.015,0.004,0.093
-0.063,0.012,-0.030
-0.033,-0.059,-0.198
0.057,-0.034,-0.037
