SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
0.032,0.011,0.001
0.033,0.012,-0.002
0.038,0.014,-0.006
0.041,0.019,-0.010
0.043,0.022,-0.016
0.043,0.025,-0.014
0.039,0.028,-0.013
0.040,0.030,-0.021
0.042,0.031,-0.023
0.041,0.033,-0.023
0.040,0.035,-0.018
0.035,0.038,-0.011
0.031,0.038,-0.015
0.026,0.038,-0.020
0.024,0.039,-0.024
0.024,0.042,-0.023
0.018,0.047,-0.018
0.014,0.050,-0.015
0.011,0.052,-0.011
0.003,0.053,-0.015
0.002,0.054,-0.017
0.000,0.055,-0.012
0.001,0.059,-0.010
0.001,0.061,-0.007
-0.005,0.061,-0.009
-0.012,0.066,-0.015
-0.017,0.062,-0.020
-0.017,0.058,-0.022
-0.020,0.056,-0.022
-0.024,0.056,-0.018
-0.026,0.054,-0.016
-0.029,0.049,-0.014
-0.029,0.052,-0.011
-0.022,0.050,-0.016
-0.017,0.049,-0.015
-0.015,0.054,-0.011
-0.015,0.053,-0.010
-0.012,0.056,-0.007
-0.009,0.056,-0.010
-0.003,0.054,-0.009
0.007,0.053,-0.010
0.012,0.052,-0.013
0.011,0.054,-0.017
0.012,0.048,-0.023
0.015,0.040,-0.020
0.018,0.032,-0.016
0.024,0.028,-0.013
0.028,0.031,-0.010
0.029,0.031,-0.010
0.031,0.032,-0.008
0.032,0.032,-0.009
0.036,0.029,-0.007
0.040,0.025,-0.007
0.044,0.021,-0.006
0.045,0.019,-0.004
0.045,0.018,-0.002
0.046,0.018,0.000
0.046,0.014,-0.003
0.046,0.007,-0.001
0.047,0.002,-0.002
0.049,0.001,-0.008
0.046,0.001,-0.007
0.041,-0.001,-0.005
0.036,-0.006,-0.004
0.034,-0.010,-0.004
0.037,-0.012,-0.006
0.039,-0.012,-0.004
