SITE CODE= 41213íﬂâ™ésînèÍí¨
 LAT.=   38.7271
 LON.=  139.8274
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2019 06 18 22 22 10
 NS,EW,UD
-0.005,0.014,0.014
-0.008,0.009,0.016
-0.003,0.002,0.002
0.004,0.000,-0.009
0.006,0.002,-0.006
0.001,0.004,0.004
-0.003,-0.000,0.004
-0.002,-0.006,-0.010
0.004,-0.008,-0.025
0.008,-0.004,-0.022
0.003,0.003,0.000
-0.006,0.008,0.022
-0.011,0.005,0.025
-0.007,-0.003,0.009
-0.000,-0.011,-0.009
0.004,-0.011,-0.013
0.004,-0.002,-0.007
0.002,0.011,-0.001
0.002,0.017,-0.000
0.002,0.010,-0.000
0.001,-0.007,0.002
-0.001,-0.023,0.005
-0.004,-0.023,0.002
-0.005,-0.005,-0.006
-0.004,0.015,-0.013
-0.003,0.024,-0.011
-0.000,0.013,-0.003
0.004,-0.005,0.001
0.009,-0.014,0.000
0.009,-0.006,-0.000
0.001,0.010,0.002
-0.007,0.016,0.009
-0.009,0.007,0.011
-0.001,-0.010,0.004
0.008,-0.019,-0.007
0.009,-0.012,-0.014
-0.000,0.004,-0.009
-0.009,0.015,0.001
-0.009,0.009,0.008
-0.001,-0.004,0.005
0.008,-0.016,-0.003
0.010,-0.015,-0.009
0.005,-0.002,-0.008
-0.001,0.010,-0.002
-0.006,0.014,0.003
-0.010,0.006,0.004
-0.013,-0.004,0.000
-0.012,-0.009,-0.002
-0.007,-0.003,-0.003
0.000,0.009,-0.003
0.006,0.015,-0.002
0.007,0.007,-0.003
0.005,-0.008,-0.005
0.005,-0.020,-0.005
0.005,-0.017,-0.000
0.002,-0.002,0.008
-0.003,0.012,0.013
-0.009,0.012,0.012
-0.008,0.001,0.005
-0.002,-0.007,-0.004
0.002,-0.005,-0.011
0.004,0.005,-0.009
0.002,0.014,-0.002
0.002,0.007,0.004
0.004,-0.007,0.004
0.006,-0.019,-0.003
0.004,-0.016,-0.011
-0.002,-0.000,-0.011
-0.006,0.016,-0.000
-0.006,0.021,0.011
-0.001,0.012,0.014
0.002,-0.004,0.006
0.000,-0.016,-0.003
-0.005,-0.017,-0.006
-0.008,-0.007,-0.001
-0.005,0.005,0.005
0.002,0.013,0.009
0.008,0.011,0.007
0.008,0.001,0.001
0.003,-0.007,-0.004
-0.003,-0.009,-0.009
-0.007,-0.003,-0.011
-0.007,0.004,-0.007
-0.004,0.006,-0.002
0.002,0.002,0.004
0.007,-0.001,0.004
0.009,-0.000,0.001
0.005,0.004,0.001
0.001,0.004,0.005
-0.002,-0.005,0.011
-0.001,-0.019,0.008
-0.000,-0.020,-0.002
-0.004,-0.002,-0.012
-0.011,0.027,-0.009
-0.017,0.043,0.002
-0.012,0.028,0.012
0.000,-0.009,0.009
0.014,-0.042,-0.003
0.018,-0.044,-0.009
0.009,-0.015,-0.004
-0.005,0.021,0.006
-0.014,0.038,0.009
-0.013,0.026,0.001
-0.006,-0.000,-0.009
0.000,-0.019,-0.012
0.004,-0.019,-0.007
0.004,-0.006,0.001
0.004,0.005,0.007
0.004,0.009,0.010
0.001,0.003,0.008
0.000,-0.004,0.001
-0.001,-0.010,-0.005
0.000,-0.009,-0.009
0.002,-0.002,-0.004
0.003,0.005,0.004
0.002,0.009,0.009
-0.000,0.004,0.002
-0.005,-0.002,-0.011
-0.010,-0.004,-0.018
-0.011,0.000,-0.011
-0.005,0.005,0.001
0.005,0.005,0.008
0.015,-0.003,0.004
0.016,-0.012,-0.003
0.006,-0.011,-0.004
-0.005,-0.000,0.002
-0.012,0.009,0.009
-0.011,0.009,0.007
-0.004,0.001,-0.002
0.001,-0.004,-0.008
0.005,-0.002,-0.007
0.006,0.005,-0.001
0.005,0.005,0.002
0.004,-0.003,0.001
0.000,-0.016,0.000
-0.002,-0.019,0.001
-0.005,-0.005,0.002
-0.007,0.016,-0.002
-0.006,0.030,-0.009
-0.003,0.025,-0.014
0.000,0.000,-0.012
0.004,-0.028,-0.004
0.007,-0.042,0.004
0.007,-0.031,0.009
0.003,-0.002,0.009
-0.002,0.025,0.009
-0.007,0.032,0.004
-0.009,0.017,-0.002
-0.008,-0.004,-0.010
-0.003,-0.016,-0.012
0.001,-0.009,-0.005
0.004,0.005,0.006
0.006,0.012,0.012
0.008,0.005,0.006
0.008,-0.006,-0.005
0.005,-0.011,-0.013
-0.000,-0.001,-0.009
-0.007,0.013,0.004
-0.009,0.016,0.013
-0.004,0.004,0.011
0.003,-0.012,0.000
0.008,-0.019,-0.009
0.005,-0.005,-0.010
